1,4,1,4,(1)คือวันปรโลก อันเป็นวันที่มนุษย์ฟื้นคืนชีพมาเพื่อรับการตอบแทน,th,2024-01-21 17:35:11,2024-01-21 17:35:11
2,5,1,5,(2)คือมอบการอิบาดะฮ์ทุกประเภทให้แก่พระองค์ แต่เพียงผู้เดียวเท่านั้น โดยปราศจากการให้ผู้หนึ่งผู้ใด หรือสิ่งหนึ่งสิ้งใดมีหุ้นส่วนในการอิบาดะฮ์ดังกล่าว เป็นต้นว่า การวิงวอนขอความช่วยเหลือ การบน การสาบาน การเชือด ฯลฯ ,th,2024-01-21 17:35:11,2024-01-21 17:35:11
3,5,1,5,(3)ขอความช่วยเหลือในสิ่งที่อยู่นอกเหนือสภาวการณ์ หรือสิ่งที่ไม่อยู่ในความสามารถของมนุษย์ที่จะให้ความช่วยเหลือได้,th,2024-01-21 17:35:11,2024-01-21 17:35:11
4,7,1,7,(4)หมายถึง พวกยิว เพราะพวกเขาประพฤติตนฝ่าฝืนบัญญัติของอัลลอฮ์อยู่เสมอ และหมายถึงผู้ที่มีพฤติการณ์ในทำนองเดียวกันนั้นด้วย ,th,2024-01-21 17:35:11,2024-01-21 17:35:11
5,7,1,7,(5)หมายถึง พวกคริสเตียน พวกเขาหลงผิดไปว่า นบีอีซาเป็นบุตรของอัลลอฮ์ เนื่องจากนบีอีซาเกิดจากนางมัรยัม ซึ่งเป็นหญิงบริสุทธิ์ปราศจากชายใดสมสู่นาง แต่ความจริงนั้นนบีอีซาหาใช่บุตรของพระองค์ไม่ หากแต่เป็นบ่าวของพระองค์คนหนึ่ง เช่นเดียวกับบ่าวของพระองค์ทั้งหลาย จะแตกต่างก็เพียงว่า นบีอีซานั้นเกิดจากนางมัรยัมแต่ฝ่ายเดียว โดยไม่มีชายใดสมสู่เยี่ยงหญิงอื่นๆ ทั้งนี้ด้วยประกาศิตของพระองค์ ดังกล่าวนี้เป็นการชี้แจงของพระองค์ไว้ในอัลกุรอาน,th,2024-01-21 17:35:11,2024-01-21 17:35:11
6,8,2,1,(6)คำนี้มิใช่เป็นศัพท์ที่ถูกกำหนดให้มีความหมายดังเช่นคำอื่นๆ หากแต่เป็นพยัญชนะโดดๆ ซึ้งถูกนำมารวมกัน เพื่อให้อ่านออกเสียงพยัญชนะเหล่านี้ต่อเนื่องกัน ด้วยเหตุนี้เราจึงต้องอ่านออกเสียงเป็นพยัญชนะโดดๆ ว่า อะลิฟ ลาม มีม ส่วนความมุ่งหมายอันแท้จริงของคำนี้และคำอื่นๆ ที่คล้ายคลึงกันเช่น อะลิฟ ลาม รอ เป็นต้น ไม่มีใครสามารถเข้าใจได้ เพราะท่านนบีมิได้อธิบายไว้ แต่กระนั้นก็ยังมีนักปราชญ์บางท่านพยายามหาความเข้าใจ โดยนำพยัญชนะอื่นๆ มาประกอบเพื่อให้มีความหมายในการนนี้ย่อมทำให้ความหมายของแต่ละพยัญชนะแตกต่างกันไป ซึ่งไม่เป็นที่ยึดได้ ยังมีทรรศนะหนึ่งของนักปราชญ์บางท่านว่า พยัญชนะเหล่านี้ถูกนำมาระบุบไว้ในตอนต้นของซูเราะฮ์ เพื่อเตือนผู้คนให้หันมาสนใจและสดับฟังในโองการของอัลลอฮ์ที่จะอ่านให้ฟังต่อไปคล้ายกับคำที่ใช้เตือนให้เตรียมตัว เช่นการนับ หนึ่ง สอง สาม กระนั้น นี่เป็นเพียงทรรศนคติของนักปราชญ์ที่ต้องการจะให้ความหมาย แต่ความหมายที่แท้จริงนั้นไม่มีใครสามารถจะรู้ได้ดังที่ได้กล่าวมาแล้ว,th,2024-01-21 17:35:11,2024-01-21 17:35:11
7,10,2,3,(7)หมายถึงสิ่งที่พ้นญาณวิสัยของมนุษย์ เช่น องค์อัลลอฮ์ มลาอิกะฮ์ของพระองค์ และสภาพวันกิยามะฮ์ ตลอดจนการสอบสวนของมุงกัร และนะกรี แก่ผู้ที่เสียชีวิตไม่ว่าจะถูกฝังไว้ในสุสานหรือถูกเก็บไว้ในที่อื่นใดก็ตาม พร้อมด้วยการตอบแทน และลงโทษบุคคลเหล่านั้นในเบื้องต้นก่อนด้วย,th,2024-01-21 17:35:11,2024-01-21 17:35:11
8,11,2,4,(8)คือ คัมภีร์ อัลกุรอานที่ถูกประทานลงมาแก่นบี ,th,2024-01-21 17:35:11,2024-01-21 17:35:11
9,11,2,4,(9)ได้แก่คัมภีร์ เตารอตและอินญีล และคัมภีร์อื่นๆ,th,2024-01-21 17:35:11,2024-01-21 17:35:11
10,12,2,5,(10)ปฏิบัติตามคำแนะนำที่มาจากอัลลอฮ์ผู้เป็นพระเจ้าของพวกเรา,th,2024-01-21 17:35:11,2024-01-21 17:35:11
